Date,Open,High,Low,Close,Adj Close,Volume
2016-09-06,150.539993,150.979996,149.309998,150.429993,150.429993,4460800
2016-09-07,150.000000,150.490005,149.339996,149.580002,149.580002,2437100
2016-09-08,149.600006,150.100006,149.300003,149.779999,149.779999,2750300
2016-09-09,149.100006,149.589996,146.559998,146.619995,146.619995,4342700
2016-09-12,146.369995,149.389999,145.940002,148.970001,148.970001,4323800
2016-09-13,147.949997,148.130005,145.550003,146.229996,146.229996,5505900
2016-09-14,146.020004,146.910004,145.330002,145.779999,145.779999,3097300
2016-09-15,146.000000,147.080002,145.470001,146.660004,146.660004,3255500
2016-09-16,146.110001,146.229996,144.679993,145.009995,145.009995,11133700
2016-09-19,145.339996,146.190002,144.929993,145.240005,145.240005,3013500
2016-09-20,145.979996,145.979996,144.759995,144.919998,144.919998,2367000
2016-09-21,145.649994,146.490005,144.979996,146.460007,146.460007,3768900
2016-09-22,146.750000,147.089996,146.130005,146.529999,146.529999,2770900
2016-09-23,146.300003,146.490005,145.000000,145.000000,145.000000,3697800
2016-09-26,144.520004,144.960007,144.000000,144.179993,144.179993,2863700
2016-09-27,144.279999,145.380005,144.009995,145.339996,145.339996,2934600
2016-09-28,145.279999,145.419998,144.029999,145.279999,145.279999,3246500
2016-09-29,145.179993,145.520004,143.360001,143.589996,143.589996,3313800
2016-09-30,144.270004,145.380005,144.270004,144.470001,144.470001,4416500
2016-10-03,144.270004,144.309998,143.210007,143.759995,143.759995,3493800
2016-10-04,143.740005,144.199997,142.800003,143.169998,143.169998,3058900
2016-10-05,143.649994,144.289993,143.210007,144.149994,144.149994,2998800
2016-10-06,144.000000,144.100006,143.300003,143.869995,143.869995,2279500
2016-10-07,143.929993,144.940002,143.779999,144.520004,144.520004,3093800
2016-10-10,145.050003,145.679993,144.979996,145.199997,145.199997,1866300
2016-10-11,145.130005,145.139999,143.529999,143.949997,143.949997,2723000
2016-10-12,143.860001,145.289993,143.860001,144.910004,144.910004,2558100
2016-10-13,143.789993,144.050003,141.919998,143.220001,143.220001,4657600
2016-10-14,143.910004,144.889999,143.580002,144.179993,144.179993,2932800
2016-10-17,144.500000,144.759995,143.369995,143.800003,143.800003,2552800
2016-10-18,144.649994,145.089996,144.130005,144.300003,144.300003,2324000
2016-10-19,144.869995,145.710007,144.479996,144.860001,144.860001,2309300
2016-10-20,144.619995,145.429993,144.190002,144.490005,144.490005,2505000
2016-10-21,143.539993,143.949997,142.800003,143.600006,143.600006,3075400
2016-10-24,144.089996,144.889999,143.679993,143.830002,143.830002,2223800
2016-10-25,143.699997,144.160004,143.210007,143.419998,143.419998,2349500
2016-10-26,143.380005,144.460007,143.119995,143.940002,143.940002,2769700
2016-10-27,144.190002,144.779999,143.869995,144.449997,144.449997,2914800
2016-10-28,144.839996,145.289993,142.899994,144.000000,144.000000,2789900
2016-10-31,144.300003,144.690002,144.000000,144.300003,144.300003,3229500
2016-11-01,144.679993,144.860001,143.110001,143.630005,143.630005,3339400
2016-11-02,143.179993,143.860001,142.910004,143.190002,143.190002,3178500
2016-11-03,143.250000,144.449997,143.199997,143.639999,143.639999,2691800
2016-11-04,143.449997,143.800003,142.350006,142.949997,142.949997,3493300
2016-11-07,144.710007,147.169998,144.300003,146.910004,146.910004,5236000
2016-11-08,146.889999,148.139999,146.399994,147.789993,147.789993,3614500
2016-11-09,146.100006,151.639999,145.100006,151.279999,151.279999,8687800
2016-11-10,152.000000,156.610001,151.679993,156.059998,156.059998,8142500
2016-11-11,155.300003,157.279999,155.149994,156.919998,156.919998,4514400
2016-11-14,157.479996,158.160004,156.529999,157.929993,157.929993,5483500
2016-11-15,157.610001,157.820007,156.089996,157.460007,157.460007,4780100
2016-11-16,157.020004,157.589996,156.020004,157.080002,157.080002,4426300
2016-11-17,156.809998,158.639999,156.300003,158.389999,158.389999,4169100
2016-11-18,158.350006,158.479996,157.169998,157.750000,157.750000,3383300
2016-11-21,158.100006,158.710007,157.419998,158.710007,158.710007,2847400
2016-11-22,159.009995,159.089996,157.830002,158.660004,158.660004,3143300
2016-11-23,158.660004,159.000000,157.279999,158.110001,158.110001,3050700
2016-11-25,158.630005,158.630005,157.600006,158.179993,158.179993,1777200
2016-11-28,157.899994,158.490005,156.889999,156.970001,156.970001,4204300
2016-11-29,157.509995,157.979996,156.820007,157.679993,157.679993,2973300
2016-11-30,158.419998,158.889999,157.419998,157.440002,157.440002,5145600
2016-12-01,157.580002,160.240005,157.509995,160.119995,160.119995,4578600
2016-12-02,160.050003,160.119995,158.699997,159.389999,159.389999,3854400
2016-12-05,160.250000,160.679993,159.270004,160.210007,160.210007,4870400
2016-12-06,160.570007,161.550003,159.929993,161.339996,161.339996,3543600
2016-12-07,161.940002,164.690002,161.399994,164.690002,164.690002,6043200
2016-12-08,164.979996,165.949997,163.520004,164.110001,164.110001,4902500
2016-12-09,164.279999,165.160004,163.070007,164.860001,164.860001,3887900
2016-12-12,164.649994,166.639999,164.350006,166.119995,166.119995,6759700
2016-12-13,166.490005,166.990005,165.399994,166.619995,166.619995,4359100
2016-12-14,166.589996,167.250000,164.539993,165.059998,165.059998,4537400
2016-12-15,165.500000,167.020004,164.800003,165.729996,165.729996,3985500
2016-12-16,166.139999,166.149994,164.330002,164.759995,164.759995,6839100
2016-12-19,165.190002,165.649994,164.479996,165.350006,165.350006,2972500
2016-12-20,166.149994,166.419998,165.399994,166.360001,166.360001,3103100
2016-12-21,166.399994,166.669998,165.550003,165.949997,165.949997,2480500
2016-12-22,165.770004,166.119995,164.889999,166.029999,166.029999,2511600
2016-12-23,166.259995,166.440002,164.770004,165.320007,165.320007,2039400
2016-12-27,165.509995,165.820007,164.779999,164.949997,164.949997,2133800
2016-12-28,165.449997,165.639999,163.559998,163.750000,163.750000,2626800
2016-12-29,163.929993,164.470001,163.009995,163.050003,163.050003,2531700
2016-12-30,163.160004,164.029999,162.619995,162.979996,162.979996,4041400
2017-01-03,164.339996,164.710007,162.440002,163.830002,163.830002,4091000
2017-01-04,164.449997,164.570007,163.000000,164.080002,164.080002,3568900
2017-01-05,164.059998,164.139999,162.179993,163.300003,163.300003,2982500
2017-01-06,163.440002,163.800003,162.639999,163.410004,163.410004,2697000
2017-01-09,163.039993,163.250000,162.020004,162.020004,162.020004,3551100
2017-01-10,162.000000,162.740005,161.410004,161.470001,161.470001,2671300
2017-01-11,161.470001,162.449997,161.029999,162.229996,162.229996,3305900
2017-01-12,162.000000,162.149994,160.330002,161.410004,161.410004,3229400
2017-01-13,161.809998,163.130005,161.509995,161.899994,161.899994,3081600
2017-01-17,161.960007,162.000000,159.300003,159.639999,159.639999,4659700
2017-01-18,160.039993,160.860001,159.429993,160.490005,160.490005,3074700
2017-01-19,160.820007,161.119995,159.110001,159.410004,159.410004,3172800
2017-01-20,160.210007,160.779999,159.580002,160.210007,160.210007,4176100
2017-01-23,160.190002,160.279999,158.610001,158.809998,158.809998,3434300
2017-01-24,159.259995,161.089996,158.770004,160.720001,160.720001,4012500
2017-01-25,162.000000,164.630005,161.389999,164.250000,164.250000,4500000
2017-01-26,164.880005,165.029999,164.080002,164.919998,164.919998,3132400
2017-01-27,164.929993,165.300003,163.460007,164.399994,164.399994,2520300
2017-01-30,164.199997,164.910004,163.220001,164.800003,164.800003,3194400
2017-01-31,164.639999,165.059998,163.080002,164.139999,164.139999,3099600
2017-02-01,164.750000,165.199997,163.300003,163.610001,163.610001,2906900
2017-02-02,163.309998,163.309998,162.270004,163.000000,163.000000,3041200
2017-02-03,164.000000,164.190002,162.520004,163.940002,163.940002,3352700
2017-02-06,163.880005,163.929993,163.039993,163.419998,163.419998,2798300
2017-02-07,163.619995,163.850006,162.580002,162.929993,162.929993,2446800
2017-02-08,162.899994,163.130005,162.149994,162.869995,162.869995,2247100
